timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T12:13:05.9937288+05:00,,0,0,0,13,15,1035,4,494440
2025-12-29T12:13:16.0994673+05:00,,0,0,0,13,12,1047,4,496430
2025-12-29T12:13:26.1883642+05:00,,0,0,0,13,15,1062,4,498919
2025-12-29T12:13:36.2702946+05:00,,0,0,0,13,15,1077,4,501410
2025-12-29T12:13:46.3548146+05:00,,0,0,0,13,15,1092,4,503904
2025-12-29T12:13:56.4440408+05:00,,0,0,0,13,15,1107,4,506394
2025-12-29T12:14:06.5281805+05:00,,0,0,0,13,15,1122,4,508884
2025-12-29T12:14:16.6122297+05:00,,0,0,0,13,12,1134,4,510881
2025-12-29T12:14:26.6960712+05:00,,0,0,0,13,15,1149,4,513367
2025-12-29T12:14:36.7883024+05:00,,0,0,0,13,15,1164,4,515856
2025-12-29T12:14:46.8646424+05:00,,0,0,0,13,15,1179,4,518347
2025-12-29T12:14:56.9421370+05:00,,0,0,0,13,15,1194,4,520846
2025-12-29T12:15:07.0336035+05:00,,0,0,0,13,15,1209,4,523342
2025-12-29T12:15:17.1458005+05:00,,0,0,0,13,15,1224,4,525841
2025-12-29T12:15:27.2367433+05:00,,0,0,0,13,3,1227,4,526333
2025-12-29T12:15:37.3281477+05:00,,0,0,0,13,0,1227,4,526333
2025-12-29T12:15:47.4119890+05:00,,0,0,0,13,27,1254,4,530816
2025-12-29T12:15:57.5032731+05:00,,0,0,0,13,24,1278,4,534805
2025-12-29T12:16:07.6051675+05:00,,0,0,0,13,30,1308,4,539793
2025-12-29T12:16:17.6845296+05:00,,0,0,0,13,30,1338,4,544774
2025-12-29T12:16:27.7794821+05:00,,0,0,0,13,30,1368,4,549762
2025-12-29T12:16:37.8830820+05:00,,0,0,0,13,27,1395,4,554244
2025-12-29T12:16:47.9739238+05:00,,0,0,0,13,30,1425,4,559216
2025-12-29T12:16:58.1089612+05:00,,0,0,0,13,27,1452,4,563696
2025-12-29T12:17:08.1979188+05:00,,0,0,0,13,30,1482,4,568663
2025-12-29T12:17:18.3077391+05:00,,0,0,0,13,27,1509,4,573149
2025-12-29T12:17:28.3948369+05:00,,0,0,0,13,30,1539,4,578135
2025-12-29T12:17:38.4905744+05:00,,0,0,0,13,27,1566,4,582623
2025-12-29T12:17:48.5769403+05:00,,0,0,0,13,30,1596,4,587597
2025-12-29T12:17:58.6842459+05:00,,0,0,0,13,27,1623,4,592079
2025-12-29T12:18:08.7739834+05:00,,0,0,0,13,27,1650,4,596558
2025-12-29T12:18:18.8647233+05:00,,0,0,0,13,30,1680,4,601537
2025-12-29T12:18:28.9562266+05:00,,0,0,0,13,30,1710,4,606516
2025-12-29T12:18:39.0416052+05:00,,0,0,0,13,27,1737,4,610996
2025-12-29T12:18:49.1436264+05:00,,0,0,0,13,30,1767,4,615985
2025-12-29T12:18:59.2648896+05:00,,0,0,0,13,30,1797,4,620973
2025-12-29T12:19:09.3609745+05:00,,0,0,0,13,24,1821,4,624966
2025-12-29T12:19:19.4438127+05:00,,0,0,0,13,15,1836,4,627460
2025-12-29T12:19:29.5281124+05:00,,0,0,0,13,18,1854,4,630452
2025-12-29T12:19:39.6112853+05:00,,0,0,0,13,27,1881,4,634940
2025-12-29T12:19:49.6994330+05:00,,0,0,0,13,27,1908,4,639428
2025-12-29T12:19:59.7907266+05:00,,0,0,0,13,30,1938,4,644417
2025-12-29T12:20:09.8688753+05:00,,0,0,0,13,27,1965,4,648902
2025-12-29T12:20:19.9619128+05:00,,0,0,0,13,27,1992,4,653397
2025-12-29T12:20:30.0624039+05:00,,0,0,0,13,27,2019,4,657884
2025-12-29T12:20:40.1528388+05:00,,0,0,0,13,30,2049,4,662867
2025-12-29T12:20:50.2352098+05:00,,0,0,0,13,30,2079,4,667859
2025-12-29T12:21:00.3285273+05:00,,0,0,0,13,27,2106,4,672330
2025-12-29T12:21:10.4244448+05:00,,0,0,0,13,30,2136,4,677321
2025-12-29T12:21:20.5077699+05:00,,0,0,0,13,30,2166,4,682316
2025-12-29T12:21:30.5920209+05:00,,0,0,0,13,24,2190,4,686300
2025-12-29T12:21:40.6812072+05:00,,0,0,0,13,27,2217,4,690787
2025-12-29T12:21:50.7741469+05:00,,0,0,0,13,30,2247,4,695777
2025-12-29T12:22:00.8597623+05:00,,0,0,0,13,30,2277,4,700751
2025-12-29T12:22:10.9548932+05:00,,0,0,0,13,27,2304,4,705242
2025-12-29T12:22:21.0454301+05:00,,0,0,0,13,30,2334,4,710212
2025-12-29T12:22:31.1388483+05:00,,0,0,0,13,27,2361,4,714699
2025-12-29T12:22:41.2527255+05:00,,0,0,0,13,27,2388,4,719178
2025-12-29T12:22:51.3453244+05:00,,0,0,0,13,21,2409,4,722671
2025-12-29T12:23:01.4273196+05:00,,0,0,0,13,9,2418,4,724167
2025-12-29T12:23:11.5181368+05:00,,0,0,0,13,0,2418,4,724167
2025-12-29T12:23:21.6250482+05:00,,0,0,0,13,6,2424,4,725164
